City,Count
"Bedok",1
"Bugis",66
"Bukit Timah",2
"Central Business District",10
"Changi",14
"Chinatown",58
"Clarke Quay",41
"East Coast",18
"Geylang",48
"HarbourFront",14
"Jurong",2
"Kallang",14
"Kranji",1
"Lavender",31
"Little India",52
"Marina Bay",19
"Newton",1
"Novena",21
"Orchard",54
"Pasir Ris",3
"River Valley",6
"Sentosa Island",15
"Serangoon",4
"Tampines",1
"Tanglin",2
"Tengah",1
"Tiong Bahru",3
"West Coast",4
"Yishun",1
